Tanggal,ff_avg,ff_x
01-01-2022,1,4
02-01-2022,1,3
03-01-2022,1,3
04-01-2022,2,6
05-01-2022,2,7
06-01-2022,3,8
07-01-2022,3,6
08-01-2022,3,6
09-01-2022,4,8
10-01-2022,4,9
11-01-2022,4,8
12-01-2022,4,7
13-01-2022,4,7
14-01-2022,4,9
15-01-2022,4,8
16-01-2022,4,8
17-01-2022,4,6
18-01-2022,4,8
19-01-2022,3,8
20-01-2022,4,7
21-01-2022,4,7
22-01-2022,2,8
23-01-2022,3,11
24-01-2022,3,6
25-01-2022,4,7
26-01-2022,3,8
27-01-2022,3,7
28-01-2022,3,6
29-01-2022,2,6
30-01-2022,3,8
31-01-2022,3,6
01-02-2022,3,7
02-02-2022,2,5
03-02-2022,4,7
04-02-2022,4,8
05-02-2022,4,9
06-02-2022,2,7
07-02-2022,4,9
08-02-2022,2,4
09-02-2022,2,5
10-02-2022,2,4
11-02-2022,2,7
12-02-2022,3,6
13-02-2022,2,5
14-02-2022,2,5
15-02-2022,2,6
16-02-2022,2,4
17-02-2022,2,6
18-02-2022,3,6
19-02-2022,2,6
20-02-2022,2,7
21-02-2022,4,8
22-02-2022,2,6
23-02-2022,3,8
24-02-2022,2,6
25-02-2022,2,5
26-02-2022,1,3
27-02-2022,2,5
28-02-2022,3,6
01-03-2022,2,6
02-03-2022,4,8
03-03-2022,4,7
04-03-2022,3,7
05-03-2022,2,5
06-03-2022,2,5
07-03-2022,3,6
08-03-2022,2,4
09-03-2022,3,6
10-03-2022,2,6
11-03-2022,3,7
12-03-2022,3,8
13-03-2022,2,6
14-03-2022,2,4
15-03-2022,1,8
16-03-2022,1,3
17-03-2022,1,4
18-03-2022,2,5
19-03-2022,2,4
20-03-2022,3,15
21-03-2022,2,5
22-03-2022,2,5
23-03-2022,2,4
24-03-2022,3,6
25-03-2022,2,6
26-03-2022,2,6
27-03-2022,2,5
28-03-2022,2,5
29-03-2022,2,6
30-03-2022,2,4
31-03-2022,1,4
01-04-2022,1,8
02-04-2022,1,4
03-04-2022,1,4
04-04-2022,1,5
05-04-2022,2,11
06-04-2022,2,4
07-04-2022,1,5
08-04-2022,2,7
09-04-2022,1,4
10-04-2022,1,4
11-04-2022,1,6
12-04-2022,1,5
13-04-2022,1,4
14-04-2022,2,6
15-04-2022,1,5
16-04-2022,2,5
17-04-2022,2,5
18-04-2022,1,4
19-04-2022,1,13
20-04-2022,1,4
21-04-2022,2,4
22-04-2022,2,6
23-04-2022,2,6
24-04-2022,1,5
25-04-2022,2,5
26-04-2022,1,4
27-04-2022,1,4
28-04-2022,1,4
29-04-2022,2,7
30-04-2022,1,4
01-05-2022,2,5
02-05-2022,2,5
03-05-2022,2,5
04-05-2022,2,5
05-05-2022,2,5
06-05-2022,2,6
07-05-2022,2,5
08-05-2022,2,6
09-05-2022,2,7
10-05-2022,2,6
11-05-2022,1,3
