Tanggal,ff_avg
01-01-2022,1
02-01-2022,1
03-01-2022,1
04-01-2022,2
05-01-2022,2
06-01-2022,3
07-01-2022,3
08-01-2022,3
09-01-2022,4
10-01-2022,4
11-01-2022,4
12-01-2022,4
13-01-2022,4
14-01-2022,4
15-01-2022,4
16-01-2022,4
17-01-2022,4
18-01-2022,4
19-01-2022,3
20-01-2022,4
21-01-2022,4
22-01-2022,2
23-01-2022,3
24-01-2022,3
25-01-2022,4
26-01-2022,3
27-01-2022,3
28-01-2022,3
29-01-2022,2
30-01-2022,3
31-01-2022,3
01-02-2022,3
02-02-2022,2
03-02-2022,4
04-02-2022,4
05-02-2022,4
06-02-2022,2
07-02-2022,4
08-02-2022,2
09-02-2022,2
10-02-2022,2
11-02-2022,2
12-02-2022,3
13-02-2022,2
14-02-2022,2
15-02-2022,2
16-02-2022,2
17-02-2022,2
18-02-2022,3
19-02-2022,2
20-02-2022,2
21-02-2022,4
22-02-2022,2
23-02-2022,3
24-02-2022,2
25-02-2022,2
26-02-2022,1
27-02-2022,2
28-02-2022,3
01-03-2022,2
02-03-2022,4
03-03-2022,4
04-03-2022,3
05-03-2022,2
06-03-2022,2
07-03-2022,3
08-03-2022,2
09-03-2022,3
10-03-2022,2
11-03-2022,3
12-03-2022,3
13-03-2022,2
14-03-2022,2
15-03-2022,1
16-03-2022,1
17-03-2022,1
18-03-2022,2
19-03-2022,2
20-03-2022,3
21-03-2022,2
22-03-2022,2
23-03-2022,2
24-03-2022,3
25-03-2022,2
26-03-2022,2
27-03-2022,2
28-03-2022,2
29-03-2022,2
30-03-2022,2
31-03-2022,1
01-04-2022,1
02-04-2022,1
03-04-2022,1
04-04-2022,1
05-04-2022,2
06-04-2022,2
07-04-2022,1
08-04-2022,2
09-04-2022,1
10-04-2022,1
11-04-2022,1
12-04-2022,1
13-04-2022,1
14-04-2022,2
15-04-2022,1
16-04-2022,2
17-04-2022,2
18-04-2022,1
19-04-2022,1
20-04-2022,1
21-04-2022,2
22-04-2022,2
23-04-2022,2
24-04-2022,1
25-04-2022,2
26-04-2022,1
27-04-2022,1
28-04-2022,1
29-04-2022,2
30-04-2022,1
01-05-2022,2
02-05-2022,2
03-05-2022,2
04-05-2022,2
05-05-2022,2
06-05-2022,2
07-05-2022,2
08-05-2022,2
09-05-2022,2
10-05-2022,2
11-05-2022,1
12-05-2022,2
13-05-2022,2
14-05-2022,2
15-05-2022,1
16-05-2022,2
17-05-2022,2
18-05-2022,2
19-05-2022,2
20-05-2022,1
21-05-2022,2
22-05-2022,2
23-05-2022,2
24-05-2022,2
25-05-2022,1
26-05-2022,1
27-05-2022,1
28-05-2022,2
29-05-2022,2
30-05-2022,1
31-05-2022,1
01-06-2022,1
02-06-2022,2
03-06-2022,1
04-06-2022,1
05-06-2022,2
06-06-2022,2
07-06-2022,1
08-06-2022,2
09-06-2022,1
10-06-2022,1
11-06-2022,2
12-06-2022,1
13-06-2022,1
14-06-2022,2
15-06-2022,2
16-06-2022,2
17-06-2022,1
18-06-2022,1
19-06-2022,1
20-06-2022,1
21-06-2022,1
22-06-2022,2
23-06-2022,2
24-06-2022,2
25-06-2022,2
26-06-2022,2
27-06-2022,1
28-06-2022,2
29-06-2022,2
30-06-2022,1
01-07-2022,2
02-07-2022,2
03-07-2022,2
04-07-2022,2
05-07-2022,2
06-07-2022,2
07-07-2022,2
08-07-2022,3
09-07-2022,2
10-07-2022,2
11-07-2022,2
12-07-2022,3
13-07-2022,2
14-07-2022,2
15-07-2022,2
16-07-2022,3
17-07-2022,2
18-07-2022,3
19-07-2022,3
20-07-2022,2
21-07-2022,2
22-07-2022,1
23-07-2022,1
24-07-2022,1
25-07-2022,2
26-07-2022,1
